X,Age,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Department,Gender,MartialStatus,Over18,OverTime,EducationFiled,JobRole,Attrition
18,22,16,2,1,22,4,96,4,1,4,1,13,3,2,2,1,2,2,1,0,0,0,1,2,1,1,1,0,4,3,0
19,53,2,4,1,23,1,78,2,4,4,2,16,3,3,0,31,3,3,25,8,3,7,3,3,2,2,1,1,2,4,0
20,38,2,3,1,24,4,45,3,1,4,5,11,3,3,0,6,3,3,3,2,1,2,3,2,1,3,1,0,2,7,0
21,24,11,2,1,26,1,96,4,2,3,0,18,3,4,1,5,5,2,4,2,1,3,1,2,2,1,1,1,5,5,0
22,36,9,4,1,27,3,82,2,1,1,7,23,4,2,0,10,4,3,5,3,0,3,3,3,1,3,1,1,2,9,1
23,34,7,4,1,28,1,53,3,3,2,0,11,3,3,0,13,4,3,12,6,2,11,3,2,2,3,1,1,2,6,0
24,21,15,2,1,30,3,96,3,1,4,1,14,3,4,0,0,6,3,0,0,0,0,3,2,1,3,1,1,2,7,0
25,34,6,1,1,31,2,83,3,1,1,2,11,3,3,0,8,2,3,4,2,1,3,3,2,1,3,1,1,4,7,1
26,53,5,3,1,32,3,58,3,5,3,4,11,3,4,1,26,3,2,14,13,4,8,3,2,2,1,1,1,5,4,0
27,32,16,1,1,33,2,72,1,1,1,1,22,4,2,0,10,5,3,10,2,6,7,2,2,2,3,1,0,2,7,1
28,42,8,4,1,35,3,48,3,2,2,0,11,3,4,1,10,2,3,9,7,4,2,3,3,1,2,1,1,3,8,0
29,44,7,4,1,36,1,42,2,3,4,3,14,3,4,1,24,4,3,22,6,5,17,3,2,2,2,1,1,4,1,0
30,46,2,4,1,38,2,83,3,5,1,3,12,3,4,0,22,2,2,2,2,2,1,3,3,2,3,1,1,3,4,0
31,33,2,3,1,39,3,78,3,1,4,4,11,3,4,0,7,3,3,1,1,0,0,3,2,1,3,1,1,4,3,0
32,44,10,4,1,40,4,41,3,2,4,2,13,3,4,0,9,5,4,4,2,1,3,3,2,1,2,1,0,5,1,0
33,30,9,2,1,41,4,83,2,1,3,1,13,3,1,0,10,5,3,10,0,1,8,3,2,1,3,1,1,4,3,0
34,39,5,3,1,42,4,56,3,2,4,3,14,3,3,1,19,6,4,1,0,0,0,3,3,1,2,1,1,6,9,1
35,24,1,3,1,45,2,61,3,1,4,2,16,3,1,1,6,2,2,2,0,2,0,3,2,1,2,1,0,4,7,1
36,43,2,2,1,46,4,72,4,1,3,1,12,3,4,2,6,3,2,5,3,1,4,3,2,2,1,1,1,4,7,0
37,50,3,2,1,47,1,86,2,1,3,1,14,3,3,0,3,2,3,3,2,0,2,3,3,1,2,1,0,3,9,1
38,35,2,3,1,49,4,97,3,1,4,1,13,3,1,0,2,3,3,2,2,2,2,3,3,2,2,1,1,3,9,0
39,36,5,4,1,51,2,82,2,1,1,9,14,3,4,1,6,3,4,1,1,0,0,3,2,2,2,1,0,2,7,0
40,33,1,3,1,52,3,42,4,2,1,2,19,3,1,2,10,3,3,5,3,1,3,2,3,2,2,1,1,2,8,0
41,35,4,2,1,53,3,75,3,1,4,1,12,3,3,1,1,3,3,1,0,0,0,3,2,1,1,1,1,5,3,0
42,27,2,4,1,54,4,33,3,1,1,1,13,3,4,1,1,6,3,1,0,0,0,3,2,2,1,1,1,2,3,0
43,26,25,3,1,55,1,48,1,1,3,1,12,3,3,0,1,2,2,1,0,0,1,3,2,1,3,1,1,2,3,1
44,27,8,3,1,56,4,37,3,3,3,1,15,3,4,0,9,0,3,9,8,1,7,2,3,1,3,1,1,2,8,0
45,30,1,2,1,57,3,58,3,2,4,1,23,4,4,0,12,2,3,12,8,3,7,2,2,2,3,1,1,4,3,0
46,41,12,3,1,58,2,49,3,5,3,1,12,3,4,0,23,0,3,22,15,15,8,3,2,2,2,1,1,6,6,1
47,34,23,4,1,60,2,72,3,2,3,0,20,4,3,0,10,2,3,9,5,8,7,1,3,1,3,1,1,3,8,0
48,37,19,2,1,61,2,73,3,1,2,4,21,4,1,0,8,1,3,1,0,0,0,3,2,1,2,1,1,2,7,0
49,46,5,4,1,62,1,98,3,2,4,4,21,4,3,0,14,4,3,9,6,0,8,2,3,1,3,1,0,3,8,0
50,35,8,1,1,63,4,36,4,1,4,1,19,3,4,0,1,2,3,1,0,0,1,3,2,1,2,1,1,2,3,0
51,48,1,2,1,64,1,98,2,3,3,9,13,3,4,0,23,2,3,1,0,0,0,3,2,1,3,1,0,2,3,1
52,28,5,4,1,65,3,50,3,1,3,1,13,3,3,0,2,3,2,2,2,2,2,3,2,1,3,1,0,6,3,1
53,44,1,5,1,68,2,75,3,2,1,5,21,4,3,1,9,2,2,4,3,1,3,3,3,2,1,1,0,3,8,0
54,35,11,2,1,70,3,79,2,3,1,2,13,3,3,1,10,3,3,4,0,2,3,1,2,1,2,1,0,4,1,0
55,26,23,3,1,72,3,47,2,2,4,7,19,3,3,1,5,2,2,2,2,0,0,3,3,2,2,1,0,3,8,0
56,33,1,2,1,73,1,98,3,3,4,1,12,3,3,0,15,1,3,15,14,8,12,2,2,2,3,1,0,2,6,0
57,35,18,5,1,74,2,71,3,3,1,1,22,4,4,1,9,3,2,9,8,1,8,2,3,1,2,1,1,2,8,0
58,35,23,4,1,75,3,30,3,1,1,3,15,3,3,1,4,3,3,2,2,2,2,3,2,2,2,1,0,4,3,0
59,31,7,4,1,76,4,48,3,2,4,3,22,4,4,1,10,3,2,7,7,1,7,3,2,1,1,1,1,2,3,0
60,37,1,4,1,77,1,51,2,2,3,1,18,3,3,1,7,2,4,7,5,0,7,3,2,1,1,1,1,2,5,0
61,32,1,3,1,78,1,33,3,2,4,1,22,4,2,1,9,3,3,9,8,7,8,3,2,1,2,1,0,4,5,0
62,38,29,5,1,79,4,50,3,2,4,1,11,3,4,0,10,2,3,10,3,9,9,2,2,2,3,1,1,2,3,0
63,50,7,2,1,80,2,43,2,5,3,5,12,3,4,1,29,2,2,27,3,13,8,3,2,2,1,1,0,4,6,0
64,59,25,3,1,81,1,99,3,3,1,7,11,3,4,0,28,3,2,21,16,7,9,3,3,2,3,1,1,2,8,0
65,36,8,3,1,83,3,59,3,3,3,1,13,3,2,3,17,2,3,17,14,12,8,3,2,2,1,1,1,6,1,0
66,55,8,3,1,84,4,33,3,4,3,2,14,3,3,3,21,2,3,5,0,0,2,3,2,2,1,1,0,4,4,0
67,36,11,3,1,85,2,95,2,2,2,1,13,3,3,0,6,3,3,6,5,0,3,2,2,1,3,1,1,2,5,0
68,45,7,3,1,86,2,59,3,3,1,2,17,3,3,1,25,2,3,1,0,0,0,3,2,1,1,1,1,2,7,0
69,35,1,3,1,88,2,79,3,1,1,4,13,3,4,1,5,2,2,3,2,1,2,2,2,1,2,1,1,4,7,0
70,36,9,3,1,90,4,79,2,1,3,0,17,3,1,1,2,0,2,1,0,0,0,3,2,1,2,1,0,4,7,1
71,59,1,1,1,91,1,57,2,2,3,7,11,3,4,0,20,2,2,4,3,1,3,2,3,2,3,1,1,2,8,0
72,29,2,3,1,94,3,76,3,1,2,0,23,4,4,1,6,3,3,5,4,0,4,3,2,1,2,1,1,2,7,0
73,31,1,4,1,95,3,87,3,1,2,1,17,3,2,0,1,4,3,1,1,1,0,3,2,1,3,1,1,4,7,0
74,32,1,3,1,96,2,66,3,2,2,1,17,3,2,2,10,3,3,10,4,0,9,3,2,1,2,1,1,2,7,0
75,36,6,3,1,97,2,55,4,1,4,3,12,3,2,0,5,3,3,1,0,0,0,3,2,2,2,1,1,2,3,0
76,31,8,4,1,98,3,61,3,2,4,1,23,4,4,0,11,2,3,11,7,1,8,3,2,2,3,1,1,2,5,0
77,35,1,4,1,100,3,32,2,2,1,0,14,3,2,0,16,2,3,15,13,2,8,3,3,1,3,1,1,3,8,0
78,45,6,4,1,101,4,52,3,3,1,4,14,3,2,0,17,3,4,0,0,0,0,3,2,1,2,1,0,5,6,0
79,37,7,4,1,102,1,30,3,3,3,4,13,3,1,0,16,3,4,5,2,0,2,3,2,1,3,1,1,4,6,0
80,46,5,2,1,103,2,80,3,2,2,8,22,4,4,1,16,2,3,4,2,0,2,3,1,1,1,1,0,4,2,0
81,30,1,1,1,104,4,55,2,2,4,1,12,3,3,2,10,1,2,10,8,3,0,3,2,1,2,1,0,2,3,0
82,35,1,3,1,105,2,30,2,1,3,1,18,3,1,0,6,3,3,6,4,0,4,3,2,1,3,1,1,4,7,0
83,55,1,2,1,106,1,70,3,3,4,3,14,3,4,1,24,4,3,1,0,1,0,3,3,1,2,1,1,2,8,0
84,38,6,3,1,107,2,79,1,2,4,7,12,3,4,3,17,3,3,13,11,1,9,1,2,2,1,1,0,4,7,0
85,34,1,2,1,110,1,94,3,2,2,1,15,3,3,0,5,2,3,5,2,1,3,3,2,1,2,1,1,4,5,0
86,56,7,3,1,112,4,49,1,3,4,4,11,3,1,0,37,3,2,6,4,0,2,3,2,1,3,1,1,2,5,0
87,23,2,1,1,113,3,62,3,1,1,3,13,3,3,1,3,3,3,0,0,0,0,3,3,1,1,1,1,6,9,0
88,51,9,4,1,116,4,96,3,1,4,3,23,4,2,2,10,4,3,4,2,0,3,3,2,1,2,1,1,2,3,0
89,30,2,3,1,117,3,99,2,2,4,1,19,3,1,3,11,3,3,11,10,10,8,3,2,1,2,1,1,2,1,0
90,46,9,2,1,118,3,64,2,3,4,1,16,3,4,0,9,3,3,9,8,4,7,3,3,1,3,1,1,4,8,1
91,40,1,4,1,119,3,78,2,4,2,1,22,4,4,1,22,3,2,22,3,11,11,2,2,1,2,1,1,2,1,0
92,51,21,4,1,120,3,71,3,2,4,0,22,4,4,0,11,2,1,10,7,1,0,3,3,1,3,1,0,3,8,0
93,30,4,2,1,121,3,63,2,2,2,1,12,3,2,3,11,4,2,11,8,2,7,3,3,2,1,1,0,4,8,0
94,46,1,3,1,124,3,40,2,3,1,2,13,3,3,1,21,5,2,10,9,9,5,2,2,1,2,1,0,4,1,0
95,32,6,4,1,125,2,87,3,2,3,1,16,3,1,0,12,0,3,11,8,5,7,3,3,1,3,1,1,4,8,0
96,54,2,4,1,126,1,60,3,3,3,9,12,3,1,1,16,5,1,4,3,0,3,3,2,2,2,1,1,6,6,0
97,24,3,2,1,128,1,33,3,2,3,0,21,4,1,1,4,2,2,3,2,0,2,3,3,2,2,1,1,5,8,0
98,28,4,3,1,129,2,43,3,2,3,1,15,3,2,0,5,3,4,5,4,0,4,1,3,1,2,1,1,4,8,0
99,58,10,4,1,131,4,37,3,4,3,0,13,3,3,0,38,1,2,37,10,1,8,3,3,1,3,1,1,4,8,0
100,44,23,3,1,132,2,67,3,2,2,4,12,3,3,1,17,3,4,3,2,1,2,1,2,1,2,1,1,4,3,0
101,37,6,4,1,133,3,63,3,1,1,4,22,4,4,0,7,3,3,3,2,0,2,3,1,1,1,1,0,1,2,1
102,32,1,1,1,134,4,71,3,1,1,1,13,3,4,0,1,2,3,1,0,0,0,3,2,1,3,1,1,2,7,0
103,20,6,3,1,137,4,66,2,1,4,1,18,3,2,0,1,5,3,1,0,1,0,2,2,2,3,1,0,2,3,1
104,34,6,4,1,138,1,41,3,2,3,1,14,3,3,0,16,3,3,16,13,2,10,3,2,2,3,1,1,5,7,0
105,37,2,2,1,139,3,100,2,2,4,5,14,3,4,1,17,2,4,1,0,0,0,1,2,1,1,1,1,2,1,0
106,59,2,4,1,140,3,32,2,5,4,9,21,4,4,1,30,3,3,3,2,2,2,1,1,2,2,1,1,1,4,0
107,50,1,3,1,141,1,73,3,5,2,3,19,3,1,0,28,1,2,8,3,0,7,2,2,2,2,1,0,2,6,0
108,25,5,3,1,142,3,46,2,2,3,1,11,3,4,0,6,1,3,6,4,0,3,3,3,1,3,1,0,3,8,1
109,25,7,1,1,143,4,64,2,1,4,1,11,3,3,2,2,2,3,2,2,2,1,3,2,1,2,1,1,4,7,0
110,22,15,3,1,144,2,59,3,1,4,1,15,3,3,0,1,5,3,0,0,0,0,3,2,2,3,1,1,4,3,0
111,51,1,4,1,145,1,30,2,3,1,3,20,4,3,0,23,1,2,13,12,12,8,2,2,2,3,1,1,4,1,0
112,34,7,3,1,147,1,66,1,2,3,1,24,4,4,0,9,3,3,9,7,0,6,2,2,1,3,1,0,2,3,1
113,54,26,3,1,148,4,30,4,4,4,2,12,3,3,0,23,3,3,5,3,4,4,1,1,2,3,1,0,1,4,0
114,24,18,1,1,150,2,52,3,1,3,0,12,3,3,1,6,2,3,5,3,1,2,3,2,1,2,1,1,2,3,0
115,34,6,4,1,151,3,45,2,2,2,6,15,3,3,1,12,3,3,1,0,0,0,3,2,2,1,1,1,2,7,0
116,37,3,3,1,152,3,87,3,3,4,2,12,3,1,0,12,3,3,5,3,1,3,3,3,1,3,1,1,2,8,0
117,34,5,3,1,153,3,45,2,3,1,2,12,3,4,0,14,6,3,11,10,5,8,3,2,2,3,1,1,4,4,0
118,36,11,2,1,154,2,92,3,3,4,0,14,3,3,1,10,6,3,9,7,2,8,2,3,2,2,1,1,6,8,0
119,36,3,2,1,155,1,39,3,1,4,5,22,4,1,1,7,2,3,1,0,0,0,3,2,2,1,1,1,2,3,0
120,43,26,2,1,158,3,92,3,4,4,1,12,3,4,2,25,3,4,25,12,4,12,2,3,1,2,1,0,2,4,0
121,30,23,3,1,159,1,96,1,1,3,1,25,4,3,3,10,2,2,10,7,0,9,2,2,1,1,1,1,2,7,0
122,33,22,2,1,160,3,95,3,2,2,0,13,3,1,1,8,2,4,7,7,0,7,1,3,1,2,1,1,3,8,0
123,56,14,4,1,161,2,72,3,1,2,9,18,3,1,3,7,2,3,5,4,4,3,3,2,2,2,1,0,2,7,1
124,51,6,3,1,162,1,51,3,5,3,7,13,3,3,0,23,5,3,20,18,15,15,3,2,1,3,1,1,2,6,0
125,31,6,4,1,163,2,76,1,2,3,4,18,3,2,0,12,3,2,7,7,7,7,3,3,1,2,1,0,2,8,1
126,26,6,3,1,164,3,46,2,1,2,1,19,3,3,0,5,3,2,5,4,4,3,3,2,2,2,1,1,5,7,0
127,58,23,4,1,165,4,94,3,3,4,1,12,3,4,1,40,3,2,40,10,15,6,3,2,2,2,1,1,4,1,1
128,19,22,1,1,167,4,50,3,1,3,1,19,3,4,0,0,2,2,0,0,0,0,3,3,1,3,1,0,3,9,1
129,22,2,1,1,169,3,100,3,1,4,0,14,3,3,1,3,2,3,2,1,2,1,3,2,1,2,1,1,6,3,0
130,49,20,4,1,170,3,96,3,2,1,1,14,3,3,0,16,2,2,15,11,5,11,3,2,2,2,1,1,4,5,0
131,43,28,3,1,171,2,72,4,1,3,4,12,3,4,0,18,2,3,3,2,1,2,2,2,2,3,1,1,4,7,0
132,50,12,3,1,174,3,77,3,3,4,4,11,3,4,0,16,3,3,2,2,2,1,2,3,2,3,1,1,3,8,0
133,31,20,3,1,175,2,71,1,2,3,3,11,3,3,1,4,2,3,2,2,2,2,3,3,2,2,1,0,2,8,1
134,41,9,1,1,176,3,96,3,3,3,3,13,3,3,1,12,2,3,9,7,0,7,3,3,1,1,1,0,2,8,0
135,26,25,1,1,177,3,61,3,1,3,1,23,4,4,1,8,3,3,8,7,5,7,3,1,2,2,1,1,2,2,0
136,36,6,2,1,178,2,84,3,2,2,6,20,4,4,2,7,0,3,3,2,0,1,3,2,1,1,1,1,4,5,0
137,51,8,4,1,179,1,53,1,3,4,2,15,3,4,0,18,2,3,4,2,0,3,2,2,1,3,1,1,2,5,1
138,39,4,4,1,182,4,47,2,2,3,4,14,3,3,1,17,1,4,15,11,5,9,3,3,2,2,1,1,2,8,0
139,25,28,3,1,183,1,41,2,2,3,2,18,3,4,0,6,3,3,2,2,2,2,3,3,1,2,1,1,2,8,0
140,30,9,3,1,184,3,48,3,2,4,0,19,3,4,0,12,2,1,11,9,4,7,3,1,1,2,1,0,1,2,0
141,32,9,3,1,190,1,41,3,1,1,7,22,4,1,0,10,2,4,5,4,0,4,3,2,2,3,1,1,4,3,1
142,45,29,3,1,192,3,83,3,1,4,5,13,3,2,0,9,2,2,6,5,0,3,3,2,1,3,1,1,4,7,0
143,38,3,5,1,193,4,32,3,2,3,3,20,4,2,0,19,2,3,3,2,2,2,3,2,2,3,1,0,6,7,0
144,30,18,3,1,194,1,75,3,1,3,1,14,3,3,0,5,4,2,5,4,0,4,3,2,2,3,1,1,2,7,0
145,32,9,2,1,195,4,35,1,2,4,0,17,3,4,3,9,2,4,8,7,0,7,2,3,1,1,1,1,4,8,0
146,30,5,3,1,197,4,84,3,1,1,5,14,3,4,1,8,3,3,3,2,2,2,3,2,2,1,1,1,6,7,0
147,30,2,1,1,198,2,35,2,1,4,0,13,3,4,0,6,3,3,5,3,1,2,3,2,1,3,1,1,4,3,0
148,41,10,3,1,199,4,91,2,4,1,4,13,3,2,1,21,2,2,7,6,7,7,2,2,1,1,1,1,2,4,0
149,41,9,4,1,200,3,94,3,1,1,2,21,4,4,1,7,2,3,5,0,1,4,3,2,1,2,1,1,2,3,0
150,19,3,1,1,201,2,79,3,1,2,1,14,3,4,0,1,3,3,1,0,0,0,3,2,2,3,1,1,4,3,0
151,40,26,3,1,202,2,54,3,2,2,1,11,3,1,1,20,2,3,20,7,2,13,2,2,2,1,1,1,4,7,0
152,35,1,5,1,204,3,94,3,3,2,1,13,3,1,2,10,3,3,10,8,0,6,3,3,1,2,1,1,3,8,0
153,53,6,2,1,205,2,34,3,2,3,2,20,4,4,1,13,3,1,7,7,4,5,3,3,1,2,1,0,3,9,0
154,45,9,3,1,206,2,60,3,2,2,8,18,3,3,1,20,2,1,17,9,0,15,3,2,1,1,1,1,2,3,0
155,32,8,3,1,207,2,43,3,3,4,1,14,3,4,0,9,2,3,9,8,3,7,2,3,2,3,1,1,3,8,0
156,29,1,1,1,208,4,41,3,2,3,1,13,3,1,1,10,1,3,10,7,0,9,1,2,1,2,1,1,6,5,0
157,51,7,4,1,211,2,34,2,2,3,2,17,3,3,0,10,2,3,1,0,0,0,3,2,1,2,1,1,4,5,0
158,58,9,3,1,214,2,75,2,1,2,4,20,4,2,1,9,3,2,1,0,0,0,3,2,2,2,1,0,4,7,0
159,40,4,4,1,215,3,67,2,3,4,7,11,3,1,1,15,2,2,12,11,2,11,3,3,1,2,1,1,3,8,0
160,34,2,4,1,216,3,75,3,1,3,6,18,3,4,1,6,3,3,4,3,1,2,2,3,2,2,1,1,3,9,0
161,22,19,1,1,217,3,80,3,1,4,1,24,4,1,2,2,6,3,2,2,2,2,3,2,1,2,1,1,4,7,0
162,27,9,3,1,218,4,57,3,1,2,6,18,3,4,1,6,1,1,2,2,2,2,1,2,1,1,1,1,4,7,0
163,28,21,3,1,221,3,42,3,1,4,1,11,3,3,1,5,2,1,5,2,0,2,3,2,1,2,1,1,4,7,0
164,57,24,2,1,223,3,83,4,3,4,3,16,3,2,1,12,2,1,5,3,1,4,3,2,1,1,1,0,2,1,0
165,27,3,3,1,224,3,79,2,1,3,1,15,3,4,1,1,2,2,1,1,0,1,1,2,1,1,1,0,4,7,0
166,50,11,3,1,226,3,53,3,5,2,3,15,3,2,0,21,5,3,5,4,4,4,3,2,2,3,1,1,2,4,0
167,41,14,3,1,227,1,56,3,1,3,4,12,3,1,1,13,2,3,9,8,1,8,3,2,1,1,1,1,2,7,0
168,30,5,3,1,228,2,41,3,3,4,2,12,3,3,1,12,2,3,10,9,7,4,3,3,2,2,1,1,2,8,0
169,38,1,4,1,230,1,59,2,2,4,4,22,4,3,0,12,2,4,8,3,0,7,3,3,2,3,1,1,2,8,0
170,32,6,5,1,231,3,43,3,1,3,3,20,4,1,0,8,2,3,5,4,1,4,3,2,1,3,1,1,2,7,0
171,27,17,3,1,233,3,51,3,1,2,0,16,3,4,1,6,3,2,5,2,1,1,3,2,1,2,1,0,6,7,0
172,19,1,1,1,235,3,100,1,1,1,0,21,4,1,0,1,5,4,0,0,0,0,2,3,2,3,1,1,6,9,1
173,36,3,2,1,238,4,30,3,1,2,4,12,3,3,0,13,3,2,8,7,7,2,2,2,1,3,1,1,4,3,0
174,30,9,3,1,239,3,66,3,2,1,1,11,3,3,2,12,4,3,12,9,6,10,1,2,1,1,1,1,4,3,0
175,45,4,2,1,240,3,30,3,2,1,4,11,3,1,1,9,3,4,5,4,0,3,3,3,2,1,1,0,2,8,0
176,56,8,3,1,241,3,67,3,1,1,4,18,3,3,1,19,3,3,2,2,2,2,3,2,2,1,1,0,2,7,0
177,33,2,3,1,242,3,90,3,1,4,0,14,3,1,0,4,2,4,3,1,0,2,3,2,1,3,1,1,2,7,0
178,19,2,3,1,243,2,47,2,1,4,1,22,4,3,0,1,3,2,1,0,1,0,3,2,1,3,1,1,2,3,1
179,46,1,2,1,244,2,92,3,3,1,1,25,4,3,3,24,2,3,24,13,15,7,3,3,2,1,1,1,3,8,0
180,38,9,2,1,245,3,75,3,1,4,1,12,3,3,0,2,3,3,2,2,2,1,3,2,2,3,1,1,2,3,0
181,31,12,1,1,246,3,95,3,1,4,8,23,4,3,1,7,0,3,4,2,0,2,3,2,2,2,1,0,4,7,0
182,34,27,2,1,247,4,95,3,1,2,2,15,3,4,0,9,3,3,3,2,1,2,3,2,2,3,1,1,4,7,0
183,41,20,2,1,248,2,70,3,1,2,1,22,4,4,0,4,5,2,4,3,0,2,3,3,2,3,1,0,3,9,1
184,50,1,3,1,249,3,86,2,1,3,2,15,3,4,1,5,2,2,3,2,0,2,3,2,1,2,1,1,4,3,0
185,53,13,2,1,250,4,57,4,2,1,1,11,3,3,2,5,3,3,4,2,1,3,3,2,2,1,1,1,4,5,0
186,33,14,3,1,252,4,72,3,1,2,1,13,3,4,1,8,5,3,8,7,1,6,3,2,2,2,1,1,4,7,0
187,40,4,1,1,253,4,46,3,5,3,1,14,3,2,1,21,2,3,20,8,9,9,3,2,2,2,1,1,4,4,0
188,55,14,4,1,254,3,61,4,5,2,8,11,3,4,0,36,3,3,24,15,2,15,3,2,1,3,1,1,4,6,0
189,34,2,1,1,256,4,45,2,2,3,1,17,3,3,0,10,2,2,10,9,1,9,2,2,1,2,1,1,2,5,0
190,51,3,3,1,258,4,98,3,4,2,3,18,3,3,0,21,6,3,7,7,1,0,3,2,2,3,1,1,4,1,0
191,52,1,4,1,259,3,65,2,5,3,0,14,3,1,1,34,5,3,33,18,11,9,3,2,1,2,1,1,2,4,0
192,27,9,3,1,260,4,99,3,1,2,1,16,3,4,0,7,2,2,7,7,0,3,3,2,2,3,1,1,4,7,0
193,35,23,2,1,261,2,50,2,2,3,3,13,3,1,0,8,1,3,1,0,0,1,3,2,1,2,1,0,2,5,1
194,43,7,3,1,262,4,37,4,1,4,4,14,3,4,3,7,3,4,5,4,2,2,1,2,1,1,1,1,4,7,0
195,45,2,2,1,264,1,65,2,4,4,9,23,4,4,1,22,1,3,20,8,11,8,1,2,1,2,1,1,4,4,0
196,37,21,3,1,267,2,65,4,1,1,1,12,3,1,1,8,3,2,8,7,1,7,3,2,1,2,1,0,2,7,0
197,35,2,3,1,269,2,37,3,2,2,5,11,3,4,0,10,5,3,6,2,1,2,2,2,2,3,1,1,4,3,0
198,42,21,2,1,270,3,36,3,2,3,2,16,3,2,1,11,5,3,5,3,0,2,1,2,2,1,1,1,4,5,0
199,38,2,4,1,271,4,88,3,2,3,9,14,3,2,0,14,3,3,1,0,0,0,3,2,1,2,1,1,2,5,0
200,38,29,3,1,273,4,54,3,2,4,3,18,3,1,1,9,3,1,7,7,1,7,3,2,1,2,1,1,6,5,0
201,27,1,1,1,274,3,60,2,2,1,5,19,3,3,1,6,1,3,2,2,2,0,2,2,1,2,1,1,6,5,0
202,49,18,4,1,275,4,92,3,2,4,1,15,3,1,2,7,0,3,7,7,1,7,1,2,1,1,1,0,2,5,0
203,34,10,4,1,277,4,43,3,1,3,1,17,3,4,1,5,4,4,5,3,2,0,2,2,1,1,1,0,4,7,0
204,40,19,2,1,281,3,99,3,2,4,8,15,3,3,1,15,2,4,7,2,3,7,3,2,1,2,1,0,4,3,0
205,38,29,1,1,282,2,70,3,2,1,7,19,3,2,0,17,2,3,1,0,0,0,3,2,1,2,1,0,4,1,1
206,29,27,3,1,283,2,35,3,3,4,1,22,4,4,3,10,3,2,10,4,1,9,3,3,2,2,1,1,3,8,1
207,22,5,3,1,284,4,60,4,1,2,1,16,3,1,1,4,2,2,4,2,2,2,3,2,1,1,1,0,2,7,0
208,36,18,1,1,286,2,73,3,1,4,1,13,3,1,0,8,2,3,8,1,1,7,2,2,2,3,1,1,4,3,0
209,40,9,5,1,287,4,63,2,2,4,9,14,3,4,1,5,5,1,3,2,0,2,1,2,1,2,1,1,2,1,0
210,46,1,4,1,288,4,97,3,3,1,7,16,3,3,1,17,3,3,4,2,0,3,3,2,1,1,1,1,4,1,0
